SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0015.JPG,32_17_WHIP_0015.JPG,793 kB,BTC5HDP,2018:12:16 06:17:52,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0274.JPG,22_18_WF_0274.JPG,820 kB,BTC5HDP,2019:01:18 14:33:52,2000x1111,42.0 mm,Jan-70,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0008.JPG,33_01_WF_0008.JPG,845 kB,BTC5HDP,2018:11:27 17:26:19,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0275.JPG,22_18_WF_0275.JPG,795 kB,BTC5HDP,2019:01:18 14:33:54,2000x1111,42.0 mm,Jan-70,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0016.JPG,32_17_WHIP_0016.JPG,831 kB,BTC5HDP,2018:12:16 06:21:22,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0276.JPG,22_18_WF_0276.JPG,811 kB,BTC5HDP,2019:01:18 14:33:56,2000x1111,42.0 mm,Jan-70,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0277.JPG,22_18_WF_0277.JPG,806 kB,BTC5HDP,2019:01:19 14:29:54,2000x1111,42.0 mm,Jan-79,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0278.JPG,22_18_WF_0278.JPG,805 kB,BTC5HDP,2019:01:19 14:29:56,2000x1111,42.0 mm,Jan-79,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0017.JPG,32_17_WHIP_0017.JPG,848 kB,BTC5HDP,2018:12:16 06:21:24,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0279.JPG,22_18_WF_0279.JPG,806 kB,BTC5HDP,2019:01:19 14:29:58,2000x1111,42.0 mm,Jan-79,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0009.JPG,33_01_WF_0009.JPG,847 kB,BTC5HDP,2018:11:27 17:26:21,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0280.JPG,22_18_WF_0280.JPG,726 kB,BTC5HDP,2019:01:20 01:21:09,2000x1111,42.0 mm,20-Jan,2.4,1600,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0018.JPG,32_17_WHIP_0018.JPG,863 kB,BTC5HDP,2018:12:16 06:21:26,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0281.JPG,22_18_WF_0281.JPG,560 kB,BTC5HDP,2019:01:20 01:21:11,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000001.JPG,02_07_WHIP_000001.JPG,861 kB,,2013:01:01 00:00:01,2000x1500,,0,2.8,100,,No Flash
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0282.JPG,22_18_WF_0282.JPG,815 kB,BTC5HDP,2019:01:20 01:21:13,2000x1111,42.0 mm,20-Jan,2.4,1600,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0019.JPG,32_17_WHIP_0019.JPG,839 kB,BTC5HDP,2018:12:16 06:28:31,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0283.JPG,22_18_WF_0283.JPG,818 kB,BTC5HDP,2019:01:20 18:28:37,2000x1111,42.0 mm,20-Jan,2.4,1600,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0010.JPG,33_01_WF_0010.JPG,785 kB,BTC5HDP,2018:11:28 05:14:47,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0284.JPG,22_18_WF_0284.JPG,742 kB,BTC5HDP,2019:01:20 18:28:39,2000x1111,42.0 mm,Jan-35,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0020.JPG,32_17_WHIP_0020.JPG,848 kB,BTC5HDP,2018:12:16 06:28:33,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0285.JPG,22_18_WF_0285.JPG,735 kB,BTC5HDP,2019:01:20 18:28:41,2000x1111,42.0 mm,Jan-43,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0286.JPG,22_18_WF_0286.JPG,854 kB,BTC5HDP,2019:01:20 19:46:40,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0287.JPG,22_18_WF_0287.JPG,745 kB,BTC5HDP,2019:01:20 19:46:42,2000x1111,42.0 mm,Jan-41,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0021.JPG,32_17_WHIP_0021.JPG,862 kB,BTC5HDP,2018:12:16 06:28:35,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0288.JPG,22_18_WF_0288.JPG,470 kB,BTC5HDP,2019:01:20 19:46:44,2000x1111,42.0 mm,Jan-35,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0011.JPG,33_01_WF_0011.JPG,808 kB,BTC5HDP,2018:11:28 05:14:50,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0289.JPG,22_18_WF_0289.JPG,818 kB,BTC5HDP,2019:01:21 17:23:35,2000x1111,42.0 mm,20-Jan,2.4,800,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0022.JPG,32_17_WHIP_0022.JPG,839 kB,BTC5HDP,2018:12:16 06:29:36,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0290.JPG,22_18_WF_0290.JPG,499 kB,BTC5HDP,2019:01:21 17:23:37,2000x1111,42.0 mm,Jan-38,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0291.JPG,22_18_WF_0291.JPG,850 kB,BTC5HDP,2019:01:21 17:23:39,2000x1111,42.0 mm,20-Jan,2.4,1600,Unknown (288),"Auto, Did not fire"
